authors,#enterseriesname,#enterseriesindex,title,#titleparttwo,series,series_index
"Lindsay McKenna & J. M. Madden & KaLyn Cooper","","","Dog Tags for Christmas","","","1.0"
"J. M. Madden","","","Embattled SEAL","","","1.0"
"J. M. Madden","","","Loving Lilly","","","1.0"
"J. M. Madden","","","Embattled Home","","","1.0"
"J. M. Madden","","","Unbreakable SEAL","A Lost and Found Novella_Max","","1.0"
"J. M. Madden","","","Embattled Christmas","","","1.0"
"J. M. Madden","Lost and Found Series","","Embattled Minds","Military RomanceMilitary Romance","Lost and Found Series","1.0"
"J. M. Madden","Lost and Found","1","Embattled Hearts 1","","Lost and Found","1.0"
"J. M. Madden","Lost and Found Series","","The Embattled Road","","Lost and Found Series","1.0"
"Ginger Talbot","","","Thirty Days of Hate","","","1.0"
"Ginger Talbot","","","Thirty Days of Pain","","","1.0"
"Ginger Talbot","","","Thirty Days of Shame","","","1.0"
"D.A. Stafford","Mark Series","1","Jessie","","Mark Series","1.0"
"Dirk Patton","V Plague","16","Brimstone","","V Plague","16.0"
"Cyndi Friberg","","","Tears of the Dragon","","","1.0"
"Cyndi Friberg","","","Tainted Hearts","","","1.0"
"Cyndi Friberg","Therian Heat","5","Therian Prize","","Therian Heat","5.0"
"Cyndi Friberg","Therian Heat","4","Therian Prisoner","","Therian Heat","4.0"
"Cyndi Friberg","Therian Heat","2","Therian Promise","","Therian Heat","2.0"
"Cyndi Friberg","Therian Heat","1","Therian Prey","","Therian Heat","1.0"
"Cyndi Friberg","Therian Heat","0.5","Therian Priestess","","Therian Heat","0.5"
"Cyndi Friberg & Mary Moran & Dar Albert","Shadow Assassins","6","Rebel Heat","","Shadow Assassins","6.0"
"Cyndi Friberg & Mary Moran & Dar Albert","","","Unique Ink","","","1.0"
"Cyndi Friberg","","","Fallen Star","","","1.0"
"Cyndi Friberg","Shadow Assassins","3","Alpha Hunter","","Shadow Assassins","3.0"
"Cyndi Friberg","","","Mystic Militia","","","1.0"
